"Nombre","Precio","Category"
"Chevrolet Aveo 4dr",11690,"BAJO"
"Chevrolet Aveo LS 4dr hatch",12585,"BAJO"
"Chevrolet Cavalier 2dr",14610,"BAJO"
"Chevrolet Cavalier 4dr",14810,"BAJO"
"Chevrolet Cavalier LS 2dr",16385,"BAJO"
"Dodge Neon SE 4dr",13670,"BAJO"
"Dodge Neon SXT 4dr",15040,"BAJO"
"Ford Focus ZX3 2dr hatch",13270,"BAJO"
"Ford Focus LX 4dr",13730,"BAJO"
"Ford Focus SE 4dr",15460,"BAJO"
"Ford Focus ZX5 5dr",15580,"BAJO"
"Honda Civic DX 2dr",13270,"BAJO"
"Honda Civic HX 2dr",14170,"BAJO"
"Honda Civic LX 4dr",15850,"BAJO"
"Hyundai Accent 2dr hatch",10539,"BAJO"
"Hyundai Accent GL 4dr",11839,"BAJO"
"Hyundai Accent GT 2dr hatch",11939,"BAJO"
"Hyundai Elantra GLS 4dr",13839,"BAJO"
"Hyundai Elantra GT 4dr",15389,"BAJO"
"Hyundai Elantra GT 4dr hatch",15389,"BAJO"
"Kia Optima LX 4dr",16040,"BAJO"
"Kia Rio 4dr manual",10280,"BAJO"
"Kia Rio 4dr auto",11155,"BAJO"
"Kia Spectra 4dr",12360,"BAJO"
"Kia Spectra GS 4dr hatch",13580,"BAJO"
"Kia Spectra GSX 4dr hatch",14630,"BAJO"
"Mazda3 i 4dr",15500,"BAJO"
"Mini Cooper",16999,"BAJO"
"Mitsubishi Lancer ES 4dr",14622,"BAJO"
"Mitsubishi Lancer LS 4dr",16722,"BAJO"
"Nissan Sentra 1.8 4dr",12740,"BAJO"
"Nissan Sentra 1.8 S 4dr",14740,"BAJO"
"Pontiac Sunfire 1SA 2dr",15495,"BAJO"
"Saturn Ion1 4dr",10995,"BAJO"
"Saturn lon2 4dr",14300,"BAJO"
"Saturn lon3 4dr",15825,"BAJO"
"Saturn lon2 quad coupe 2dr",14850,"BAJO"
"Saturn lon3 quad coupe 2dr",16350,"BAJO"
"Scion xA 4dr hatch",12965,"BAJO"
"Suzuki Aeno S 4dr",12884,"BAJO"
"Suzuki Aerio LX 4dr",14500,"BAJO"
"Suzuki Forenza S 4dr",12269,"BAJO"
"Suzuki Forenza EX 4dr",15568,"BAJO"
"Toyota Corolla CE 4dr",14085,"BAJO"
"Toyota Corolla S 4dr",15030,"BAJO"
"Toyota Corolla LE 4dr",15295,"BAJO"
"Toyota Echo 2dr manual",10760,"BAJO"
"Toyota Echo 2dr auto",11560,"BAJO"
"Toyota Echo 4dr",11290,"BAJO"
"Buick Century Custom 4dr",22180,"MODERADO"
"Chevrolet Impala 4dr",21900,"MODERADO"
"Chevrolet Malibu 4dr",18995,"BAJO"
"Chevrolet Malibu LS 4dr",20370,"MODERADO"
"Chevrolet Monte Carlo LS 2dr",21825,"MODERADO"
"Chrysler PT Cruiser 4dr",17985,"BAJO"
"Chrysler PT Cruiser Limited 4dr",22000,"MODERADO"
"Chrysler Sebring 4dr",19090,"BAJO"
"Chrysler Sebring Touring 4dr",21840,"MODERADO"
"Dodge Intrepid SE 4dr",22035,"MODERADO"
"Dodge Stratus SXT 4dr",18820,"BAJO"
"Dodge Stratus SE 4dr",20220,"MODERADO"
"Ford Focus SVT 2dr",19135,"BAJO"
"Ford Taurus LX 4dr",20320,"MODERADO"
"Ford Taurus SES Duratec 4dr",22735,"MODERADO"
"Honda Accord LX 2dr",19860,"BAJO"
"Honda Accord EX 2dr",22260,"MODERADO"
"Honda Civic EX 4dr",17750,"BAJO"
"Honda Civic Si 2dr hatch",19490,"BAJO"
"Honda Civic Hybrid 4dr manual (gas/electric)",20140,"MODERADO"
"Honda Insight 2dr (gas/electric)",19110,"BAJO"
"Hyundai Sonata GLS 4dr",19339,"BAJO"
